area,path,title,description,product,words,updated
"website","website/site-features/context-menu/README.md","Right-click menu","What the site's own right-click menu does, how it adapts to what you clicked, and how to switch back to your browser's menu.","Website › Site features › Right-click menu","616","2026-09-25"
"website","website/site-features/context-menu/docs/README.md","Right-click menu guides","Contents of the right-click menu guides.","Website › Site features › Right-click menu","170","2026-09-25"
"website","website/site-features/context-menu/docs/getting-started.md","Get started with the right-click menu","Open the site's right-click menu, learn its parts, and run your first actions.","Website › Site features › Right-click menu","591","2026-09-25"
"website","website/site-features/context-menu/docs/actions-for-what-you-clicked.md","Actions for what you clicked","How the menu decides what you clicked, and the actions it offers for a page, a link, an image, a selection and a colour.","Website › Site features › Right-click menu","1414","2026-09-25"
"website","website/site-features/context-menu/docs/filter-and-keyboard.md","Filter and keyboard","Find any action by typing, and use the right-click menu entirely from the keyboard.","Website › Site features › Right-click menu","468","2026-09-25"
"website","website/site-features/context-menu/docs/menu-preferences.md","Menu preferences and turning it off","Change the right-click menu's layout and row height, and make your browser's own menu the default.","Website › Site features › Right-click menu","457","2026-09-25"
"website","website/site-features/context-menu/docs/other-right-click-menus.md","Other right-click menus on the site","The smaller right-click menus that some parts of the site show instead of the main menu.","Website › Site features › Right-click menu","512","2026-09-25"
"website","website/site-features/context-menu/docs/quick-bar-and-pinning.md","Quick bar and pinning","Pin your most-used actions to the quick bar at the top of the right-click menu, unpin them, and reset the bar.","Website › Site features › Right-click menu","392","2026-09-25"
"website","website/site-features/context-menu/docs/reference.md","Right-click menu reference","Every part, action, shortcut, preference and message of the site's right-click menu.","Website › Site features › Right-click menu","1358","2026-09-25"
"website","website/site-features/context-menu/docs/troubleshooting.md","Troubleshooting the right-click menu","Fixes for common problems with the site's right-click menu.","Website › Site features › Right-click menu","557","2026-09-25"
"website","website/site-features/context-menu/docs/faq.md","Right-click menu FAQ","Short answers to common questions about the site's right-click menu.","Website › Site features › Right-click menu","267","2026-09-25"
"website","website/site-features/context-menu/others/README.md","Right-click menu: supporting material","Contents of the right-click menu's supporting files.","Website › Site features › Right-click menu","82","2026-09-25"
"website","website/site-features/context-menu/others/shortcuts.md","Right-click menu shortcuts","Keyboard shortcuts for opening the right-click menu, moving around it, and running its site-wide actions.","Website › Site features › Right-click menu","246","2026-09-25"
"website","website/site-features/context-menu/others/glossary.md","Right-click menu glossary","Terms used by the right-click menu and its guides.","Website › Site features › Right-click menu","269","2026-09-25"
"website","website/site-features/context-menu/others/privacy.md","Right-click menu privacy","What the right-click menu stores and which of its actions use the network.","Website › Site features › Right-click menu","212","2026-09-25"
"website","website/site-features/context-menu/others/release-notes.md","Right-click menu release notes","User-facing history of the site's right-click menu.","Website › Site features › Right-click menu","101","2026-09-25"
"website","website/site-features/context-menu/others/related.md","Related to the right-click menu","Features, tools and pages related to the site's right-click menu.","Website › Site features › Right-click menu","132","2026-09-25"
"website","website/site-features/cookie-consent-and-privacy/README.md","Cookie consent and privacy choices","The cookie notice, the four cookie categories, and how to accept, reject, customise or withdraw your choice.","Website › Site features › Cookie consent and privacy","329","2026-09-25"
"website","website/site-features/cookie-consent-and-privacy/docs/README.md","Cookie consent guides","Contents of the cookie consent guides.","Website › Site features › Cookie consent and privacy","66","2026-09-25"
"website","website/site-features/cookie-consent-and-privacy/docs/getting-started.md","Get started with cookie consent","What the cookie consent bar says, and what each of its buttons does.","Website › Site features › Cookie consent and privacy","350","2026-09-25"
"website","website/site-features/cookie-consent-and-privacy/docs/manage-cookie-preferences.md","Manage your cookie preferences","Change, save, clear or withdraw your cookie choices on the Cookie Policy page.","Website › Site features › Cookie consent and privacy","323","2026-09-25"
"website","website/site-features/cookie-consent-and-privacy/docs/reference.md","Cookie consent reference","The cookie categories, every listed cookie, the consent controls and their messages.","Website › Site features › Cookie consent and privacy","501","2026-09-25"
"website","website/site-features/cookie-consent-and-privacy/docs/troubleshooting.md","Troubleshooting cookie consent","Fixes for common problems with the cookie notice and preferences.","Website › Site features › Cookie consent and privacy","214","2026-09-25"
"website","website/site-features/cookie-consent-and-privacy/docs/faq.md","Cookie consent FAQ","Short answers about cookies and privacy choices on Auric Artisan.","Website › Site features › Cookie consent and privacy","157","2026-09-25"
"website","website/site-features/cookie-consent-and-privacy/others/README.md","Cookie consent: supporting material","Contents of the cookie consent supporting files.","Website › Site features › Cookie consent and privacy","44","2026-09-25"
"website","website/site-features/cookie-consent-and-privacy/others/glossary.md","Cookie consent glossary","Terms used in the cookie consent guides.","Website › Site features › Cookie consent and privacy","167","2026-09-25"
"website","website/site-features/cookie-consent-and-privacy/others/privacy.md","What the site measures","What the site measures with and without your consent, and how browser privacy signals are respected.","Website › Site features › Cookie consent and privacy","235","2026-09-25"
"website","website/site-features/cookie-consent-and-privacy/others/related.md","Related to cookie consent","Policies and features related to cookie consent.","Website › Site features › Cookie consent and privacy","64","2026-09-25"
"website","website/site-features/custom-cursor/README.md","Custom cursor","The ring-and-dot pointer that follows your mouse on Auric Artisan, the shapes it takes, and how to turn it off.","Website › Site features › Custom cursor","337","2026-09-25"
"website","website/site-features/custom-cursor/docs/README.md","Custom cursor guides","Contents of the custom cursor guides.","Website › Site features › Custom cursor","53","2026-09-25"
"website","website/site-features/custom-cursor/docs/getting-started.md","Get started with the custom cursor","How the custom cursor behaves, when it is hidden, and how to turn it off.","Website › Site features › Custom cursor","290","2026-09-25"
"website","website/site-features/custom-cursor/docs/reference.md","Custom cursor reference","Every shape and effect of the custom cursor, and where each appears.","Website › Site features › Custom cursor","370","2026-09-25"
"website","website/site-features/custom-cursor/docs/troubleshooting.md","Troubleshooting the custom cursor","Fixes for common custom cursor problems.","Website › Site features › Custom cursor","222","2026-09-25"
"website","website/site-features/custom-cursor/docs/faq.md","Custom cursor FAQ","Short answers about the custom cursor.","Website › Site features › Custom cursor","129","2026-09-25"
"website","website/site-features/custom-cursor/others/README.md","Custom cursor: supporting material","Contents of the custom cursor supporting files.","Website › Site features › Custom cursor","57","2026-09-25"
"website","website/site-features/custom-cursor/others/glossary.md","Custom cursor glossary","Terms used in the custom cursor guides.","Website › Site features › Custom cursor","97","2026-09-25"
"website","website/site-features/custom-cursor/others/privacy.md","Custom cursor privacy","What the custom cursor reads and stores.","Website › Site features › Custom cursor","52","2026-09-25"
"website","website/site-features/custom-cursor/others/related.md","Related to the custom cursor","Features related to the custom cursor.","Website › Site features › Custom cursor","49","2026-09-25"
"website","website/site-features/eye-rest/README.md","Eye rest","Optional reminders that invite you to look away from the screen for a few seconds, on a schedule you choose.","Website › Site features › Eye rest","340","2026-09-25"
"website","website/site-features/eye-rest/docs/README.md","Eye rest guides","Contents of the eye rest guides.","Website › Site features › Eye rest","62","2026-09-25"
"website","website/site-features/eye-rest/docs/getting-started.md","Get started with eye rest","Turn eye-rest reminders on, choose the interval, and turn them off again.","Website › Site features › Eye rest","231","2026-09-25"
"website","website/site-features/eye-rest/docs/the-reminder-and-the-rest.md","The reminder and the rest","What the eye-rest reminder card offers, how to change its timings, and what happens during and after a rest.","Website › Site features › Eye rest","428","2026-09-25"
"website","website/site-features/eye-rest/docs/reference.md","Eye rest reference","Every eye-rest control, value, default and message.","Website › Site features › Eye rest","390","2026-09-25"
"website","website/site-features/eye-rest/docs/troubleshooting.md","Troubleshooting eye rest","Fixes for common eye-rest problems.","Website › Site features › Eye rest","233","2026-09-25"
"website","website/site-features/eye-rest/docs/faq.md","Eye rest FAQ","Short answers about eye-rest reminders.","Website › Site features › Eye rest","174","2026-09-25"
"website","website/site-features/eye-rest/others/README.md","Eye rest: supporting material","Contents of the eye rest supporting files.","Website › Site features › Eye rest","64","2026-09-25"
"website","website/site-features/eye-rest/others/glossary.md","Eye rest glossary","Terms used in the eye rest guides.","Website › Site features › Eye rest","147","2026-09-25"
"website","website/site-features/eye-rest/others/limits-and-accuracy.md","Eye rest limits and accuracy","What eye rest does, what it does not do, and how precise its timings are.","Website › Site features › Eye rest","145","2026-09-25"
"website","website/site-features/eye-rest/others/privacy.md","Eye rest privacy","What eye rest stores and sends.","Website › Site features › Eye rest","77","2026-09-25"
"website","website/site-features/eye-rest/others/related.md","Related to eye rest","Features related to eye rest.","Website › Site features › Eye rest","58","2026-09-25"
"website","website/site-features/feedback/README.md","Feedback","The occasional feedback prompt, the quick star rating, the six-question survey and bug reports, and how often the site asks.","Website › Site features › Feedback","364","2026-09-25"
"website","website/site-features/feedback/docs/README.md","Feedback guides","Contents of the feedback guides.","Website › Site features › Feedback","66","2026-09-25"
"website","website/site-features/feedback/docs/getting-started.md","Get started with feedback","When the feedback prompt appears, and how to answer it, postpone it or stop it.","Website › Site features › Feedback","261","2026-09-25"
"website","website/site-features/feedback/docs/rate-survey-and-report.md","Rate, survey and report a bug","Give a quick rating, choose whether to be contacted, answer the survey, or report a bug.","Website › Site features › Feedback","667","2026-09-25"
"website","website/site-features/feedback/docs/reference.md","Feedback reference","Every feedback screen, button, timing and message.","Website › Site features › Feedback","474","2026-09-25"
"website","website/site-features/feedback/docs/troubleshooting.md","Troubleshooting feedback","Fixes for common feedback problems.","Website › Site features › Feedback","184","2026-09-25"
"website","website/site-features/feedback/docs/faq.md","Feedback FAQ","Short answers about giving feedback on Auric Artisan.","Website › Site features › Feedback","132","2026-09-25"
"website","website/site-features/feedback/others/README.md","Feedback: supporting material","Contents of the feedback supporting files.","Website › Site features › Feedback","55","2026-09-25"
"website","website/site-features/feedback/others/glossary.md","Feedback glossary","Terms used in the feedback guides.","Website › Site features › Feedback","125","2026-09-25"
"website","website/site-features/feedback/others/privacy.md","Feedback privacy","What feedback sends to Auric Artisan and what it keeps on your device.","Website › Site features › Feedback","128","2026-09-25"
"website","website/site-features/feedback/others/related.md","Related to feedback","Features and pages related to feedback.","Website › Site features › Feedback","41","2026-09-25"
"website","website/site-features/guide-and-page-outline/README.md","Guide and page outline","The page guide opened with ?, its guided tours, and the section rail on long company, legal and trust pages.","Website › Site features › Guide and page outline","457","2026-09-25"
"website","website/site-features/guide-and-page-outline/docs/README.md","Guide and page outline guides","Contents of the guide and page outline documentation.","Website › Site features › Guide and page outline","81","2026-09-25"
"website","website/site-features/guide-and-page-outline/docs/getting-started.md","Get started with the guide","Open the page guide, learn its sections, and filter it.","Website › Site features › Guide and page outline","491","2026-09-25"
"website","website/site-features/guide-and-page-outline/docs/guided-tours.md","Guided tours","Take a guided tour of any page, move through its stops, leave, resume, replay and skip.","Website › Site features › Guide and page outline","543","2026-09-25"
"website","website/site-features/guide-and-page-outline/docs/section-rail.md","The section rail","Use the ""On this page"" section rail on long company, pricing, legal and trust pages.","Website › Site features › Guide and page outline","277","2026-09-25"
"website","website/site-features/guide-and-page-outline/docs/reference.md","Guide and page outline reference","Every part, control, key and message of the guide, the tours and the section rail.","Website › Site features › Guide and page outline","619","2026-09-25"
"website","website/site-features/guide-and-page-outline/docs/troubleshooting.md","Troubleshooting the guide and section rail","Fixes for common problems with the guide, tours and section rail.","Website › Site features › Guide and page outline","254","2026-09-25"
"website","website/site-features/guide-and-page-outline/docs/faq.md","Guide and page outline FAQ","Short answers about the guide, tours and section rail.","Website › Site features › Guide and page outline","150","2026-09-25"
"website","website/site-features/guide-and-page-outline/others/README.md","Guide and page outline: supporting material","Contents of the guide and page outline supporting files.","Website › Site features › Guide and page outline","48","2026-09-25"
"website","website/site-features/guide-and-page-outline/others/shortcuts.md","Guide and tour shortcuts","Keys for the guide and guided tours.","Website › Site features › Guide and page outline","99","2026-09-25"
"website","website/site-features/guide-and-page-outline/others/glossary.md","Guide and page outline glossary","Terms used in the guide and page outline guides.","Website › Site features › Guide and page outline","128","2026-09-25"
"website","website/site-features/guide-and-page-outline/others/privacy.md","Guide privacy","What the guide remembers.","Website › Site features › Guide and page outline","57","2026-09-25"
"website","website/site-features/guide-and-page-outline/others/related.md","Related to the guide and outlines","Features related to the guide and outlines.","Website › Site features › Guide and page outline","64","2026-09-25"
"website","website/site-features/header-and-navigation/README.md","Header and navigation","The site header, its menus and quick tools, the mobile drawer, the page utilities bar and the footer.","Website › Site features › Header and navigation","483","2026-09-25"
"website","website/site-features/header-and-navigation/docs/README.md","Header and navigation guides","Contents of the header and navigation guides.","Website › Site features › Header and navigation","128","2026-09-25"
"website","website/site-features/header-and-navigation/docs/getting-started.md","Get started with the header and navigation","Find your way around the header, the page utilities bar and the footer on any page.","Website › Site features › Header and navigation","373","2026-09-25"
"website","website/site-features/header-and-navigation/docs/desktop-header.md","The desktop header","Use the Company, Tools and Learn menus and the quick-tools icons in the header on wide screens.","Website › Site features › Header and navigation","712","2026-09-25"
"website","website/site-features/header-and-navigation/docs/footer.md","The footer","Every section and link of the footer at the bottom of each page.","Website › Site features › Header and navigation","374","2026-09-25"
"website","website/site-features/header-and-navigation/docs/mobile-drawer.md","The mobile drawer","Use the navigation drawer on phones, tablets and narrow windows, including tool chips, theme and language switches.","Website › Site features › Header and navigation","572","2026-09-25"
"website","website/site-features/header-and-navigation/docs/page-utilities-bar.md","The page utilities bar","Open the launcher bar at the bottom-left of every page to reach the kits, the navigation dock and Settings.","Website › Site features › Header and navigation","353","2026-09-25"
"website","website/site-features/header-and-navigation/docs/reference.md","Header and navigation reference","Every header menu entry, quick tool, drawer control and utilities-bar launcher, with its destination.","Website › Site features › Header and navigation","1189","2026-09-25"
"website","website/site-features/header-and-navigation/docs/troubleshooting.md","Troubleshooting the header and navigation","Fixes for common problems with the header, the drawer, the page utilities bar and the footer.","Website › Site features › Header and navigation","329","2026-09-25"
"website","website/site-features/header-and-navigation/docs/faq.md","Header and navigation FAQ","Short answers about the header, drawer, page utilities bar and footer.","Website › Site features › Header and navigation","174","2026-09-25"
"website","website/site-features/header-and-navigation/others/README.md","Header and navigation: supporting material","Contents of the header and navigation supporting files.","Website › Site features › Header and navigation","69","2026-09-25"
"website","website/site-features/header-and-navigation/others/shortcuts.md","Header and navigation shortcuts","Keyboard shortcuts for the header menus, the drawer and the tools the header opens.","Website › Site features › Header and navigation","166","2026-09-25"
"website","website/site-features/header-and-navigation/others/glossary.md","Header and navigation glossary","Terms used in the header and navigation guides.","Website › Site features › Header and navigation","217","2026-09-25"
"website","website/site-features/header-and-navigation/others/privacy.md","Header and navigation privacy","What the header, drawer and page utilities bar remember, and what they send.","Website › Site features › Header and navigation","117","2026-09-25"
"website","website/site-features/header-and-navigation/others/related.md","Related to the header and navigation","Features and sections related to the header and navigation.","Website › Site features › Header and navigation","131","2026-09-25"
"website","website/site-features/info-bars-and-notices/README.md","Info bars and notices","The welcome, announcement and quick-links bars, the clock strip, hero notice, demo chips, the first-visit welcome and the site's status messages.","Website › Site features › Info bars and notices","433","2026-09-25"
"website","website/site-features/info-bars-and-notices/docs/README.md","Info bars and notices guides","Contents of the info bars and notices guides.","Website › Site features › Info bars and notices","93","2026-09-25"
"website","website/site-features/info-bars-and-notices/docs/getting-started.md","Get started with info bars and notices","What bars and notices appear where, and how to show or hide each one.","Website › Site features › Info bars and notices","244","2026-09-25"
"website","website/site-features/info-bars-and-notices/docs/clock-strip.md","The clock strip","Show a live clock under the header and set its format, date, weekday, zone label and time zone from its own menu.","Website › Site features › Info bars and notices","469","2026-09-25"
"website","website/site-features/info-bars-and-notices/docs/info-bars.md","The info bars","Use the welcome, announcement and quick-links bars, pause them, open their links and hide them.","Website › Site features › Info bars and notices","427","2026-09-25"
"website","website/site-features/info-bars-and-notices/docs/notices-and-messages.md","Notices and status messages","The hero notice, demo chips, first-visit welcome, loading screen, and the short status messages the site shows.","Website › Site features › Info bars and notices","431","2026-09-25"
"website","website/site-features/info-bars-and-notices/docs/reference.md","Info bars and notices reference","Every bar, notice, switch, default, timing and message.","Website › Site features › Info bars and notices","420","2026-09-25"
"website","website/site-features/info-bars-and-notices/docs/troubleshooting.md","Troubleshooting info bars and notices","Fixes for common problems with the info bars, clock strip and notices.","Website › Site features › Info bars and notices","227","2026-09-25"
"website","website/site-features/info-bars-and-notices/docs/faq.md","Info bars and notices FAQ","Short answers about the info bars, clock strip and notices.","Website › Site features › Info bars and notices","140","2026-09-25"
"website","website/site-features/info-bars-and-notices/others/README.md","Info bars and notices: supporting material","Contents of the info bars and notices supporting files.","Website › Site features › Info bars and notices","61","2026-09-25"
"website","website/site-features/info-bars-and-notices/others/glossary.md","Info bars and notices glossary","Terms used in the info bars and notices guides.","Website › Site features › Info bars and notices","136","2026-09-25"
"website","website/site-features/info-bars-and-notices/others/privacy.md","Info bars and notices privacy","What the info bars, clock strip and notices store.","Website › Site features › Info bars and notices","71","2026-09-25"
"website","website/site-features/info-bars-and-notices/others/related.md","Related to info bars and notices","Features related to the info bars and notices.","Website › Site features › Info bars and notices","62","2026-09-25"
"website","website/site-features/keyboard-shortcuts/README.md","Keyboard shortcuts","The master list of keyboard shortcuts for the whole Auric Artisan website.","Website › Site features › Keyboard shortcuts","352","2026-09-25"
"website","website/site-features/keyboard-shortcuts/docs/README.md","Keyboard shortcuts documentation","Contents of the keyboard shortcuts documentation.","Website › Site features › Keyboard shortcuts","42","2026-09-25"
"website","website/site-features/keyboard-shortcuts/docs/reference.md","Keyboard shortcut reference","Every keyboard shortcut on the Auric Artisan website, grouped by where it works.","Website › Site features › Keyboard shortcuts","1016","2026-09-25"
"website","website/site-features/keyboard-shortcuts/docs/troubleshooting.md","Troubleshooting keyboard shortcuts","Why a site shortcut might not work, and what to do.","Website › Site features › Keyboard shortcuts","289","2026-09-25"
"website","website/site-features/keyboard-shortcuts/others/README.md","Keyboard shortcuts: supporting material","Contents of the keyboard shortcuts supporting files.","Website › Site features › Keyboard shortcuts","40","2026-09-25"
"website","website/site-features/keyboard-shortcuts/others/related.md","Related to keyboard shortcuts","Where each group of keyboard shortcuts is explained in detail.","Website › Site features › Keyboard shortcuts","63","2026-09-25"
"website","website/site-features/language/README.md","Language","Switch Auric Artisan between English and Hindi, and learn what is and is not translated.","Website › Site features › Language","351","2026-09-25"
"website","website/site-features/language/docs/README.md","Language guides","Contents of the language guides.","Website › Site features › Language","62","2026-09-25"
"website","website/site-features/language/docs/getting-started.md","Get started with languages","Switch the site between English and Hindi, and share a link that opens in Hindi.","Website › Site features › Language","308","2026-09-25"
"website","website/site-features/language/docs/what-is-translated.md","What is translated","What changes when the site is in Hindi, and what deliberately stays in English or Latin script.","Website › Site features › Language","407","2026-09-25"
"website","website/site-features/language/docs/reference.md","Language reference","Every language control, what it does, and how the language choice is kept.","Website › Site features › Language","290","2026-09-25"
"website","website/site-features/language/docs/troubleshooting.md","Troubleshooting languages","Fixes for common problems when using the site in Hindi.","Website › Site features › Language","283","2026-09-25"
"website","website/site-features/language/docs/faq.md","Language FAQ","Short answers about English and Hindi on Auric Artisan.","Website › Site features › Language","163","2026-09-25"
"website","website/site-features/language/others/README.md","Language: supporting material","Contents of the language supporting files.","Website › Site features › Language","67","2026-09-25"
"website","website/site-features/language/others/glossary.md","Language glossary","Terms used in the language guides.","Website › Site features › Language","106","2026-09-25"
"website","website/site-features/language/others/limits-and-accuracy.md","Language limits and accuracy","How complete the Hindi translation is and what to expect from it.","Website › Site features › Language","126","2026-09-25"
"website","website/site-features/language/others/privacy.md","Language privacy","What is stored about your language choice and what switching downloads.","Website › Site features › Language","79","2026-09-25"
"website","website/site-features/language/others/related.md","Related to languages","Features related to the site's language setting.","Website › Site features › Language","56","2026-09-25"
"website","website/site-features/navigation-dock/README.md","Navigation dock","The floating navigation rail with Back, Forward, Reload, page outline, split view, recorder, copy, share and scroll controls.","Website › Site features › Navigation dock","490","2026-09-25"
"website","website/site-features/navigation-dock/docs/README.md","Navigation dock guides","Contents of the navigation dock guides.","Website › Site features › Navigation dock","81","2026-09-25"
"website","website/site-features/navigation-dock/docs/getting-started.md","Get started with the navigation dock","Open the navigation dock and learn what each of its buttons does.","Website › Site features › Navigation dock","436","2026-09-25"
"website","website/site-features/navigation-dock/docs/move-and-collapse.md","Move and collapse the dock","Drag the navigation dock, flip it to the other side, and understand how it collapses on desktop and on phones.","Website › Site features › Navigation dock","384","2026-09-25"
"website","website/site-features/navigation-dock/docs/page-outline.md","Jump around with the page outline","Use the dock's page outline to see the page's sections, find where you are, and jump to any heading.","Website › Site features › Navigation dock","269","2026-09-25"
"website","website/site-features/navigation-dock/docs/reference.md","Navigation dock reference","Every control of the navigation dock with its label, action and availability.","Website › Site features › Navigation dock","419","2026-09-25"
"website","website/site-features/navigation-dock/docs/troubleshooting.md","Troubleshooting the navigation dock","Fixes for common problems with the navigation dock.","Website › Site features › Navigation dock","344","2026-09-25"
"website","website/site-features/navigation-dock/docs/faq.md","Navigation dock FAQ","Short answers about the navigation dock.","Website › Site features › Navigation dock","162","2026-09-25"
"website","website/site-features/navigation-dock/others/README.md","Navigation dock: supporting material","Contents of the navigation dock's supporting files.","Website › Site features › Navigation dock","68","2026-09-25"
"website","website/site-features/navigation-dock/others/glossary.md","Navigation dock glossary","Terms used in the navigation dock guides.","Website › Site features › Navigation dock","134","2026-09-25"
"website","website/site-features/navigation-dock/others/privacy.md","Navigation dock privacy","What the navigation dock stores and what its buttons share.","Website › Site features › Navigation dock","81","2026-09-25"
"website","website/site-features/navigation-dock/others/related.md","Related to the navigation dock","Features related to the navigation dock.","Website › Site features › Navigation dock","77","2026-09-25"
"website","website/site-features/screen-recorder/README.md","Screen recorder","Record your screen, a window, this tab, a region of the page or a tool's canvas, and export video, animated GIF or PNG images.","Website › Site features › Screen recorder","474","2026-09-25"
"website","website/site-features/screen-recorder/docs/README.md","Screen recorder guides","Contents of the screen recorder guides.","Website › Site features › Screen recorder","80","2026-09-25"
"website","website/site-features/screen-recorder/docs/getting-started.md","Get started with the screen recorder","Open the recorder, learn the setup dialog, and make your first recording.","Website › Site features › Screen recorder","376","2026-09-25"
"website","website/site-features/screen-recorder/docs/my-recordings-and-export.md","My recordings and export","Play, rename, trim, export and delete your recordings.","Website › Site features › Screen recorder","572","2026-09-25"
"website","website/site-features/screen-recorder/docs/record-a-take.md","Record a take","Choose a source and capture settings, add audio, draw a region, and control the recording with the recording bar.","Website › Site features › Screen recorder","924","2026-09-25"
"website","website/site-features/screen-recorder/docs/reference.md","Screen recorder reference","Every recorder option, default, output format, limit and message.","Website › Site features › Screen recorder","778","2026-09-25"
"website","website/site-features/screen-recorder/docs/troubleshooting.md","Troubleshooting the screen recorder","Fixes for common screen recorder problems.","Website › Site features › Screen recorder","409","2026-09-25"
"website","website/site-features/screen-recorder/docs/faq.md","Screen recorder FAQ","Short answers about the screen recorder.","Website › Site features › Screen recorder","196","2026-09-25"
"website","website/site-features/screen-recorder/others/README.md","Screen recorder: supporting material","Contents of the screen recorder supporting files.","Website › Site features › Screen recorder","63","2026-09-25"
"website","website/site-features/screen-recorder/others/shortcuts.md","Screen recorder shortcuts","Keyboard shortcuts for the screen recorder.","Website › Site features › Screen recorder","97","2026-09-25"
"website","website/site-features/screen-recorder/others/glossary.md","Screen recorder glossary","Terms used in the screen recorder guides.","Website › Site features › Screen recorder","182","2026-09-25"
"website","website/site-features/screen-recorder/others/limits-and-accuracy.md","Screen recorder limits and accuracy","Limits on recording length, storage, formats and quality.","Website › Site features › Screen recorder","206","2026-09-25"
"website","website/site-features/screen-recorder/others/privacy.md","Screen recorder privacy","What the recorder captures, where recordings are kept, and what is shared.","Website › Site features › Screen recorder","146","2026-09-25"
"website","website/site-features/screen-recorder/others/release-notes.md","Screen recorder release notes","User-facing history of the screen recorder, from the public changelog.","Website › Site features › Screen recorder","47","2026-09-25"
