area,folder,title,description,documents
"website","website/site-features/info-bars-and-notices/others","Info bars and notices: supporting material","Contents of the info bars and notices supporting files.","4"
"website","website/site-features/keyboard-shortcuts","Keyboard shortcuts","The master list of keyboard shortcuts for the whole Auric Artisan website.","1"
"website","website/site-features/keyboard-shortcuts/docs","Keyboard shortcuts documentation","Contents of the keyboard shortcuts documentation.","3"
"website","website/site-features/keyboard-shortcuts/others","Keyboard shortcuts: supporting material","Contents of the keyboard shortcuts supporting files.","2"
"website","website/site-features/language","Language","Switch Auric Artisan between English and Hindi, and learn what is and is not translated.","1"
"website","website/site-features/language/docs","Language guides","Contents of the language guides.","6"
"website","website/site-features/language/others","Language: supporting material","Contents of the language supporting files.","5"
"website","website/site-features/navigation-dock","Navigation dock","The floating navigation rail with Back, Forward, Reload, page outline, split view, recorder, copy, share and scroll controls.","1"
"website","website/site-features/navigation-dock/docs","Navigation dock guides","Contents of the navigation dock guides.","7"
"website","website/site-features/navigation-dock/others","Navigation dock: supporting material","Contents of the navigation dock's supporting files.","4"
"website","website/site-features/screen-recorder","Screen recorder","Record your screen, a window, this tab, a region of the page or a tool's canvas, and export video, animated GIF or PNG images.","1"
"website","website/site-features/screen-recorder/docs","Screen recorder guides","Contents of the screen recorder guides.","7"
"website","website/site-features/screen-recorder/others","Screen recorder: supporting material","Contents of the screen recorder supporting files.","7"
"website","website/site-features/screen-saver","Screen saver","The optional idle screen that fills the window with a colour from the site's colour atlas after a period of inactivity.","1"
"website","website/site-features/screen-saver/docs","Screen saver guides","Contents of the screen saver guides.","6"
"website","website/site-features/screen-saver/others","Screen saver: supporting material","Contents of the screen saver supporting files.","5"
"website","website/site-features/search-and-spotlight","Search and Spotlight","Spotlight, the site-wide search palette opened with Ctrl + K, with scopes, colour answers, filters and commands.","1"
"website","website/site-features/search-and-spotlight/docs","Search and Spotlight guides","Contents of the Spotlight search guides.","8"
"website","website/site-features/search-and-spotlight/others","Search and Spotlight: supporting material","Contents of the Spotlight search supporting files.","6"
"website","website/site-features/settings-panel","Settings panel","What the Settings panel is, how to open it, and what you can change with it on every page of Auric Artisan.","1"
"website","website/site-features/settings-panel/docs","Settings panel guides","Contents of the Settings panel guides, from opening the panel to backing up and resetting every setting.","10"
"website","website/site-features/settings-panel/others","Settings panel: supporting material","Contents of the Settings panel's supporting files: glossary, shortcuts, limits, related pages, privacy and release notes.","7"
"website","website/site-features/shareable-links","Shareable links","What the address bar remembers about the page you are on, how to share an exact view, and the other link options the site understands.","1"
"website","website/site-features/shareable-links/docs","Shareable links guides","Contents of the shareable links guides.","6"
"website","website/site-features/shareable-links/others","Shareable links: supporting material","Contents of the shareable links supporting files.","4"
"website","website/site-features/split-view","Split view","Show two pages of Auric Artisan side by side, each fully working and responsive, with per-pane theme, viewport and zoom.","1"
"website","website/site-features/split-view/docs","Split view guides","Contents of the split view guides.","8"
"website","website/site-features/split-view/others","Split view: supporting material","Contents of the split view supporting files.","6"
"website","website/site-features/theme","Theme","The site's light, dark and system themes, and every place you can switch between them.","1"
"website","website/site-features/theme/docs","Theme guides","Contents of the theme guides.","6"
"website","website/site-features/theme/others","Theme: supporting material","Contents of the theme supporting files.","5"
"website","website/tools","Website tools","Every tool on auricartisan.com, grouped by what it helps you do, with its address and a link to its documentation.","1"
"website","website/tools/accessibility-and-vision","Accessibility and vision tools","What the accessibility and vision tools on auricartisan.com are for, and which one to open for each job.","1"
"website","website/tools/accessibility-and-vision/accessibility-checklist","Accessibility Checklist","What the Accessibility Checklist is, who it is for, and how to start working through its 50 WCAG 2.2 checks.","1"
"website","website/tools/accessibility-and-vision/accessibility-checklist/docs","Accessibility Checklist documentation","The list of Accessibility Checklist guides with one line on each.","10"
"website","website/tools/accessibility-and-vision/accessibility-checklist/others","Accessibility Checklist: supporting material","The checklist's glossary, keyboard shortcuts, limits, related tools and privacy notes.","6"
"website","website/tools/accessibility-and-vision/accessibility-compliance","Accessibility Compliance","What the Accessibility Compliance address offers a visitor today, and where it takes you.","1"
"website","website/tools/accessibility-and-vision/accessibility-compliance/docs","Accessibility Compliance documentation","The guides for the Accessibility Compliance address.","3"
"website","website/tools/accessibility-and-vision/accessibility-compliance/others","Accessibility Compliance: supporting material","Where to find the glossary, limits, privacy notes and related material for the compliance resource.","1"
"website","website/tools/accessibility-and-vision/analyzer","Analyzer","What the Auric Artisan Analyzer audits, who it is for, and how to run your first audit.","1"
"website","website/tools/accessibility-and-vision/analyzer/docs","Analyzer documentation","The list of Analyzer guides, from a first audit to exports, with one line on each.","17"
"website","website/tools/accessibility-and-vision/analyzer/others","Analyzer: supporting material","The Analyzer's glossary, shortcuts, limits, related tools, release notes and privacy notes.","7"
"website","website/tools/accessibility-and-vision/contrast-checker","Contrast Checker","What the Contrast Checker does, who it is for, and how to grade a colour pair in under a minute.","1"
"website","website/tools/accessibility-and-vision/contrast-checker/docs","Contrast Checker documentation","The list of Contrast Checker guides with one line on each.","8"
"website","website/tools/accessibility-and-vision/contrast-checker/others","Contrast Checker: supporting material","The Contrast Checker's glossary, limits, related tools and privacy notes.","5"
"website","website/tools/accessibility-and-vision/ishihara-plate-generator","Ishihara Plate Generator","What the Ishihara Plate Generator makes, who it is for, and how to generate, check and export your first plates.","1"
"website","website/tools/accessibility-and-vision/ishihara-plate-generator/docs","Ishihara Plate Generator documentation","The list of Ishihara Plate Generator guides with one line on each.","9"
"website","website/tools/accessibility-and-vision/ishihara-plate-generator/others","Ishihara Plate Generator: supporting material","The Ishihara Plate Generator's glossary, shortcuts, limits, related tools, release notes and privacy notes.","7"
"website","website/tools/accessibility-and-vision/vision-simulation","Vision Lab","What the Vision Lab simulates, who it is for, and how to see a colour, a palette or an image through 78 vision conditions.","1"
"website","website/tools/accessibility-and-vision/vision-simulation/docs","Vision Lab documentation","The list of Vision Lab guides with one line on each.","12"
"website","website/tools/accessibility-and-vision/vision-simulation/others","Vision Lab: supporting material","The Vision Lab's glossary, shortcuts, limits, related tools, release notes and privacy notes.","7"
"website","website/tools/colour-workspace","Colour workspace","The Auric Artisan tools for building palettes and design systems, converting and studying colours, and choosing fonts and icons.","1"
"website","website/tools/colour-workspace/ascii-art-generator","ASCII Art Generator","What the ASCII Art Generator is, who it is for, where to find it, and how to turn a picture or a word into character art and take it away as text, image or code.","1"
"website","website/tools/colour-workspace/ascii-art-generator/docs","ASCII Art Generator documentation","The list of guides for the ASCII Art Generator.","11"
"website","website/tools/colour-workspace/ascii-art-generator/others","Supporting material","The glossary, shortcuts, limits, related tools and privacy notes for the ASCII Art Generator.","6"
"website","website/tools/colour-workspace/basic-colour-tools","Basic Color Tools","What Basic Color Tools is, who it is for, where to find it and how to start using its panel workspace and the site-wide Colour Tools.","1"
"website","website/tools/colour-workspace/basic-colour-tools/docs","Basic Color Tools documentation","The list of every guide for Basic Color Tools and the Colour Tools workbench.","7"
"website","website/tools/colour-workspace/basic-colour-tools/docs/colour-tools","Colour Tools workbench","The fourteen floating Colour Tools you can open on any page of Auric Artisan, how to open them, and a guide for each.","16"
"website","website/tools/colour-workspace/basic-colour-tools/docs/panel-tools","Panel tools","The seven tools that open as panels in the Basic Color Tools workspace, with a guide for each.","8"
"website","website/tools/colour-workspace/basic-colour-tools/others","Supporting material","The glossary, shortcuts, limits, related links and privacy notes for Basic Color Tools and the Colour Tools workbench.","6"
"website","website/tools/colour-workspace/colour-science-lab","Color Science Lab","What the Color Science Lab is, who it is for, where to find it, and how to start with its Workbench, Compare, Gamut audit and Illuminants views and its 45 panel tools.","1"
"website","website/tools/colour-workspace/colour-science-lab/docs","Color Science Lab documentation","The list of guides for the Color Science Lab.","13"
"website","website/tools/colour-workspace/colour-science-lab/others","Supporting material","Glossary, shortcuts, limits, related tools and privacy notes for the Color Science Lab.","6"
"website","website/tools/colour-workspace/design-engine","Design System Generator","What the Design System Generator (Design Engine) is, who it is for, where to find it, and how to generate, check and export your first design system.","1"
"website","website/tools/colour-workspace/design-engine/docs","Design System Generator documentation","The list of guides for the Design System Generator.","12"
"website","website/tools/colour-workspace/design-engine/others","Supporting material","Glossary, limits, related tools and privacy notes for the Design System Generator.","5"
"website","website/tools/colour-workspace/font-library","Font Library","What the Font Library is, who it is for, where to find it, and how to find, test, compare and take away open-licence fonts from the Auric Artisan catalogue.","1"
"website","website/tools/colour-workspace/font-library/docs","Font Library documentation","The list of guides for the Font Library.","11"
"website","website/tools/colour-workspace/font-library/others","Supporting material","The glossary, shortcuts, limits, related tools and privacy notes for the Font Library.","6"
"website","website/tools/colour-workspace/icon-library","Icon Library","What the Icon Library is, who it is for, where to find it, and how to find, restyle and take away icons from seven open-licence sets.","1"
"website","website/tools/colour-workspace/icon-library/docs","Icon Library documentation","The list of guides for the Icon Library.","9"
"website","website/tools/colour-workspace/icon-library/others","Supporting material","The glossary, shortcuts, limits, related tools and privacy notes for the Icon Library.","6"
"website","website/tools/colour-workspace/personalisation-generator","Personalization Generator","What the Personalization Generator is, who it is for, where to find it, and how to turn a colour pool and a short brief into palettes, gradients, type, UI pairs, posters, design tokens and a live brand Studio.","1"
"website","website/tools/colour-workspace/personalisation-generator/docs","Personalization Generator documentation","The list of guides for the Personalization Generator.","13"
"website","website/tools/colour-workspace/personalisation-generator/others","Supporting material","The glossary, limits, related tools and privacy notes for the Personalization Generator.","5"
"website","website/tools/colorimetry-and-rendering","Colorimetry and rendering tools","What the colorimetry, gamut and rendering tools on auricartisan.com are for, where to find them, and which one to open for your question.","1"
"website","website/tools/colorimetry-and-rendering/chromatic-adaptation","Chromatic Adaptation","What the Chromatic Adaptation lab does, who it is for, where to find it and how to adapt your first image.","1"
"website","website/tools/colorimetry-and-rendering/chromatic-adaptation/docs","Chromatic Adaptation documentation","The guides, reference and help pages for the Chromatic Adaptation lab.","9"
"website","website/tools/colorimetry-and-rendering/chromatic-adaptation/others","Chromatic Adaptation: supporting pages","Glossary, shortcuts, limits, related tools, release notes and privacy for the Chromatic Adaptation lab.","7"
"website","website/tools/colorimetry-and-rendering/gamut-lab","Gamut Lab","What the Gamut Lab does, who it is for, where to find it and how to compare your first colour spaces.","1"
"website","website/tools/colorimetry-and-rendering/gamut-lab/docs","Gamut Lab documentation","The guides, reference and help pages for the Gamut Lab.","8"
"website","website/tools/colorimetry-and-rendering/gamut-lab/others","Gamut Lab: supporting pages","Glossary, shortcuts, limits, related tools, release notes and privacy for the Gamut Lab.","7"
"website","website/tools/colorimetry-and-rendering/gamut-map","Gamut Mapping","What the Gamut Mapping lab does, who it is for, where to find it and how to map your first colour.","1"
"website","website/tools/colorimetry-and-rendering/gamut-map/docs","Gamut Mapping documentation","The guides, reference and help pages for the Gamut Mapping lab.","8"
"website","website/tools/colorimetry-and-rendering/gamut-map/others","Gamut Mapping: supporting pages","Glossary, shortcuts, limits, related tools, release notes and privacy for the Gamut Mapping lab.","7"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot","HDR Gamut Plot","What the HDR Gamut Plot does, who it is for, where to find it and how to take your first reading.","1"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/docs","HDR Gamut Plot documentation","The guides, reference and help pages for the HDR Gamut Plot.","8"
"website","website/tools/colorimetry-and-rendering/hdr-gamut-plot/others","HDR Gamut Plot: supporting pages","Glossary, shortcuts, limits, related tools, release notes and privacy for the HDR Gamut Plot.","7"
"website","website/tools/colorimetry-and-rendering/illuminants","Illuminants","What the Standard Illuminants lab does, who it is for, where to find it and how to take your first reading.","1"
"website","website/tools/colorimetry-and-rendering/illuminants/docs","Illuminants documentation","The guides, reference and help pages for the Standard Illuminants lab.","9"
"website","website/tools/colorimetry-and-rendering/illuminants/others","Illuminants: supporting pages","Glossary, shortcuts, limits, related tools, release notes and privacy for the Standard Illuminants lab.","7"
"website","website/tools/colorimetry-and-rendering/tonal-steps","Tonal Steps","What the Tonal Steps, Tints and Shades tool does, who it is for, where to find it and how to build your first ramp.","1"
"website","website/tools/colorimetry-and-rendering/tonal-steps/docs","Tonal Steps documentation","The guides, reference and help pages for Tonal Steps, Tints and Shades.","9"
"website","website/tools/colorimetry-and-rendering/tonal-steps/others","Tonal Steps: supporting pages","Glossary, shortcuts, limits, related tools, release notes and privacy for Tonal Steps.","7"
"website","website/tools/colorimetry-and-rendering/tone-mapping","Tone Mapping","What the Tone Mapping lab does, who it is for, where to find it and how to map your first frame.","1"
"website","website/tools/colorimetry-and-rendering/tone-mapping/docs","Tone Mapping documentation","The guides, reference and help pages for the Tone Mapping lab.","9"
"website","website/tools/colorimetry-and-rendering/tone-mapping/others","Tone Mapping: supporting pages","Glossary, shortcuts, limits, related tools, release notes and privacy for the Tone Mapping lab.","7"
"website","website/tools/perception-and-spectral","Perception and spectral tools","What the three perception and neuroscience tools and the two spectral tools on auricartisan.com are for, where to find them, and which one to open for each job.","1"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry","Industrial Dye Chemistry (Dye in Solution)","What the Dye in Solution tool does, who it is for, where to find it and how to watch a first pH indicator change colour.","1"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/docs","Using Dye in Solution","Contents of the how-to documentation for the Dye in Solution tool.","11"
"website","website/tools/perception-and-spectral/industrial-dye-chemistry/others","Dye in Solution background","Contents of the background material for the Dye in Solution tool.","7"
"website","website/tools/perception-and-spectral/material-lighting","Material Lighting (Material Under Light)","What the Material Under Light tool does, who it is for, where to find it and how to render a first material under a chosen light.","1"
"website","website/tools/perception-and-spectral/material-lighting/docs","Using Material Under Light","Contents of the how-to documentation for the Material Under Light tool.","10"
"website","website/tools/perception-and-spectral/material-lighting/others","Material Under Light background","Contents of the background material for the Material Under Light tool.","7"
"website","website/tools/perception-and-spectral/neuroscience","Neuroscience (Visual Pathway)","What the Visual Pathway tool does, who it is for, where to find it and how to follow a first grating from the cones to V4.","1"
"website","website/tools/perception-and-spectral/neuroscience/docs","Using the Visual Pathway","Contents of the how-to documentation for the Visual Pathway tool.","8"
"website","website/tools/perception-and-spectral/neuroscience/others","Visual Pathway background","Contents of the background material for the Visual Pathway tool.","7"
"website","website/tools/perception-and-spectral/perception-and-vision","Perception and Vision","What the Perception Vision tool does, who it is for, where to find it and how to run a first colour vision simulation over your own image.","1"
"website","website/tools/perception-and-spectral/perception-and-vision/docs","Using Perception and Vision","Contents of the how-to documentation for the Perception Vision tool.","8"
"website","website/tools/perception-and-spectral/perception-and-vision/others","Perception and Vision background","Contents of the background material for the Perception Vision tool.","7"
"website","website/tools/perception-and-spectral/psychophysical-experiment-engine","Psychophysical Experiment Engine","What the Psychophysics Bench does, who it is for, where to find it and how to measure a first contrast threshold.","1"
"website","website/tools/perception-and-spectral/psychophysical-experiment-engine/docs","Using the Psychophysics Bench","Contents of the how-to documentation for the Psychophysics Bench.","9"
"website","website/tools/perception-and-spectral/psychophysical-experiment-engine/others","Psychophysics Bench background","Contents of the background material for the Psychophysics Bench.","7"
"website","website/tools/image-and-file-tools","Image and file tools","What the six image and file tools on auricartisan.com are for, where to find them, and which one to open for each job.","1"
"website","website/tools/image-and-file-tools/collage-maker","Collage Maker","What the Collage Maker does, who it is for, where to find it and how to make a first collage.","1"
"website","website/tools/image-and-file-tools/collage-maker/docs","Collage Maker documentation","The list of how-to guides, the reference, troubleshooting and FAQ for the Collage Maker.","9"
"website","website/tools/image-and-file-tools/collage-maker/others","Collage Maker background material","The contents of the Collage Maker's others folder: glossary, shortcuts, limits, related pages, release notes and privacy.","7"
"website","website/tools/image-and-file-tools/icc-profile-parser","ICC Profile Parser","What the ICC Profile Parser does, who it is for, where to find it and how to read a first profile.","1"
"website","website/tools/image-and-file-tools/icc-profile-parser/docs","ICC Profile Parser documentation","The list of guides, the reference, troubleshooting and FAQ for the ICC Profile Parser.","9"
"website","website/tools/image-and-file-tools/icc-profile-parser/others","ICC Profile Parser background material","The contents of the ICC Profile Parser's others folder: glossary, limits, related pages, release notes and privacy.","6"
"website","website/tools/image-and-file-tools/image-picker","Image Picker","What the Image Picker does, who it is for, where to find it and how to take a first palette from a picture.","1"
"website","website/tools/image-and-file-tools/image-picker/docs","Image Picker documentation","The list of guides, the reference, troubleshooting and FAQ for the Image Picker.","11"
"website","website/tools/image-and-file-tools/image-picker/others","Image Picker background material","The contents of the Image Picker's others folder: glossary, shortcuts, limits, related pages, release notes and privacy.","7"
"website","website/tools/image-and-file-tools/lut-lab","LUT Lab","What LUT Lab does, who it is for, where to find it and how to try a first look and write a .cube file.","1"
"website","website/tools/image-and-file-tools/lut-lab/docs","LUT Lab documentation","The list of guides, the concept page, the reference, troubleshooting and FAQ for LUT Lab.","10"
"website","website/tools/image-and-file-tools/lut-lab/others","LUT Lab background material","The contents of LUT Lab's others folder: glossary, limits, related pages, release notes and privacy.","6"
"website","website/tools/image-and-file-tools/m-gradient-palette","M-Gradient Palette","What the M-Gradient Palette does, who it is for, where to find it and how to build a first ramp.","1"
"website","website/tools/image-and-file-tools/m-gradient-palette/docs","M-Gradient Palette documentation","The list of guides, the concept page, the reference, troubleshooting and FAQ for the M-Gradient Palette.","10"
"website","website/tools/image-and-file-tools/m-gradient-palette/others","M-Gradient Palette background material","The contents of the M-Gradient Palette's others folder: glossary, limits, related pages, release notes and privacy.","6"
"website","website/tools/image-and-file-tools/svg-recolour","SVG Recolour","What SVG Recolour does, who it is for, where to find it and how to recolour a first SVG.","1"
"website","website/tools/image-and-file-tools/svg-recolour/docs","SVG Recolour documentation","The list of guides, the reference, troubleshooting and FAQ for SVG Recolour.","9"
"website","website/tools/image-and-file-tools/svg-recolour/others","SVG Recolour background material","The contents of SVG Recolour's others folder: glossary, limits, related pages, release notes and privacy.","6"
"website","website/kits","Kits","What the Auric Artisan kits are, how to open them from the page utilities bar, and the controls every kit panel shares.","1"
"website","website/kits/docs","Guides for all kits","Contents of the shared kit guides, which cover the launcher bar and the panel controls every kit uses.","6"
"website","website/kits/advanced-kit","Advanced Kit","Choose which of the site's tools you see, site-wide: Basic, Advanced, Everything, or a Custom set you tick yourself.","1"
"website","website/kits/advanced-kit/docs","Advanced Kit guides","Contents of the Advanced Kit guides: getting started, the four modes, custom tool sets and what each mode changes.","8"
"website","website/kits/advanced-kit/others","Advanced Kit reference material","Contents of the Advanced Kit reference pages: glossary, shortcuts, limits, related pages, release notes and privacy.","7"
"website","website/kits/feature-kit","Feature Kit","A floating toolbox with a scientific calculator, graphing, a unit converter, notes, date and time tools, developer utilities and a feedback form.","1"
"website","website/kits/feature-kit/docs","Feature Kit guides","Contents of the Feature Kit guides, one per tool, plus the full reference, troubleshooting and FAQ.","13"
"website","website/kits/feature-kit/others","Feature Kit reference material","Contents of the Feature Kit reference pages: glossary, shortcuts, limits, related pages, release notes and privacy.","7"
"website","website/kits/library-kit","Library Kit","The Universal Library as a floating panel: browse, search, restore, organise, compare, share, export and sync everything you save from the site's tools.","1"
"website","website/kits/library-kit/docs","Library Kit guides","Contents of the Library Kit guides, from browsing and organising to comparing, sharing, syncing and reports.","12"
"website","website/kits/library-kit/others","Library Kit reference material","Contents of the Library Kit reference pages: glossary, shortcuts, limits, related pages, release notes and privacy.","7"
"website","website/kits/menu-kit","Menu Kit","A floating start menu for auricartisan.com with tabbed page groups, recommended and most-used tools, fuzzy search and quick actions.","1"
"website","website/kits/menu-kit/docs","Menu Kit guides","Contents of the Menu Kit guides: getting started, browsing, searching, reference, troubleshooting and FAQ.","7"
"website","website/kits/menu-kit/others","Menu Kit reference material","Contents of the Menu Kit reference pages: glossary, shortcuts, limits, related pages, release notes and privacy.","7"
"website","website/kits/status-kit","Status Kit","See how finished the page you are on is, scan a whole section of the site for page statuses, and watch live device, network and performance readings.","1"
"website","website/kits/status-kit/docs","Status Kit guides","Contents of the Status Kit guides: page status, section scans, system status, reference, troubleshooting and FAQ.","8"
"website","website/kits/status-kit/others","Status Kit reference material","Contents of the Status Kit reference pages: glossary, shortcuts, limits, related pages, release notes and privacy.","7"
"website","website/kits/update-kit","Update Kit","How auricartisan.com tells you a new release is out, and how the Update website command refreshes the site's files in your browser.","1"
"website","website/kits/update-kit/docs","Update Kit guides","Contents of the Update Kit guides: the update notice, the Update website command, reference, troubleshooting and FAQ.","6"
"website","website/kits/update-kit/others","Update Kit reference material","Contents of the Update Kit reference pages: glossary, shortcuts, limits, related pages, release notes and privacy.","7"
"website","website/kits/others","Reference material for all kits","Contents of the shared reference pages for all kits: glossary, shortcuts, privacy and related pages.","5"
"website","website/library","Library","An overview of the Auric Artisan library and a map of its documentation.","1"
"website","website/library/blog","Blog","What the Auric Artisan blog contains, where to find it, and how to read and follow it.","1"
"website","website/library/blog/docs","Blog: docs","Guides to the Auric Artisan blog and a summary of every post.","4"
"website","website/library/blog/others","Blog: other material","Supporting material for the blog.","2"
"website","website/library/changelog","Changelog","What the Auric Artisan changelog contains, how to search it, and where to find a summary of each release.","1"
"website","website/library/changelog/docs","Changelog: docs","Guides to the changelog page and a summary of every release.","4"
"website","website/library/changelog/others","Changelog: other material","Supporting material for the changelog.","2"
"website","website/library/collections","Collections","What the Collections page is, who it is for, and how to find, pin and open any Auric Artisan tool from it.","1"
"website","website/library/collections/docs","Collections docs","The task guides and reference pages for the Collections tool catalogue.","9"
"website","website/library/collections/others","Collections: other material","Supporting material for the Collections page: glossary, shortcuts, limits, related pages and privacy.","6"
"website","website/library/colour-libraries","Colour libraries","An overview of the six Auric Artisan colour libraries and a map of their documentation.","1"
"website","website/library/colour-libraries/accessibility-library","Accessibility Library","What the Accessibility Color Pair Library is, who it is for, where to find it, and how to find text colours that pass on any background.","1"
"website","website/library/colour-libraries/accessibility-library/docs","Accessibility Library documentation","The task guides, reference, troubleshooting and FAQ for the Accessibility Color Pair Library.","9"
"website","website/library/colour-libraries/accessibility-library/others","Accessibility Library: other material","Supporting material for the Accessibility Library: glossary, shortcuts, limits, related pages, privacy and release notes.","7"
"website","website/library/colour-libraries/color-library","Color Library","What the Color Library is, who it is for, where to find it and how to look up your first colour.","1"
"website","website/library/colour-libraries/color-library/docs","Color Library documentation","The list of task guides, the reference, troubleshooting and FAQ for the Color Library.","12"
"website","website/library/colour-libraries/color-library/others","Color Library: other material","Supporting material for the Color Library: glossary, shortcuts, limits, related pages, privacy and release notes.","7"
"website","website/library/colour-libraries/gradient-library","Gradient Library","What the Gradient Library is, who it is for, where to find it, and how to check your own gradient and export one from the collection.","1"
"website","website/library/colour-libraries/gradient-library/docs","Gradient Library documentation","The task guides, reference, troubleshooting and FAQ for the Gradient Library.","12"
"website","website/library/colour-libraries/gradient-library/others","Gradient Library: other material","Supporting material for the Gradient Library: glossary, shortcuts, limits, related pages, privacy and release notes.","7"
"website","website/library/colour-libraries/harmony-library","Harmony Library","What the Harmony Library is, who it is for, where to find it, and how to identify your own colours' harmony and export a scheme.","1"
"website","website/library/colour-libraries/harmony-library/docs","Harmony Library documentation","The task guides, reference, troubleshooting and FAQ for the Harmony Library.","11"
"website","website/library/colour-libraries/harmony-library/others","Harmony Library: other material","Supporting material for the Harmony Library: glossary, shortcuts, limits, related pages, privacy and release notes.","7"
"website","website/library/colour-libraries/palette-library","Palette Library","What the Palette Library is, who it is for, where to find it and how to find and export your first palette.","1"
"website","website/library/colour-libraries/palette-library/docs","Palette Library documentation","The task guides, reference, troubleshooting and FAQ for the Palette Library.","10"
"website","website/library/colour-libraries/palette-library/others","Palette Library: other material","Supporting material for the Palette Library: glossary, shortcuts, limits, related pages, privacy and release notes.","7"
"website","website/library/colour-libraries/shade-library","Shade Library","What the Shade Library is, who it is for, where to find it, and how to find and export a first shade scale.","1"
"website","website/library/colour-libraries/shade-library/docs","Shade Library documentation","The task guides, reference, troubleshooting and FAQ for the Shade Library.","10"
"website","website/library/colour-libraries/shade-library/others","Shade Library: other material","Supporting material for the Shade Library: glossary, shortcuts, limits, related pages, privacy and release notes.","7"
"website","website/library/documentation","Documentation","What the documentation library contains, who it is for, and how to find a tool's guide.","1"
"website","website/library/documentation/docs","Documentation: docs","Guides for using the documentation library, the list of all subjects, and the reference.","7"
"website","website/library/documentation/others","Documentation: other material","Supporting material for the documentation library.","4"
"website","website/library/learn","Learn","What the Learn library is, who it is for, where to find it, and how to start reading.","1"
"website","website/library/learn/docs","Learn documentation","The guides, catalogue, reference, troubleshooting and FAQ for the Learn library.","8"
"website","website/library/learn/others","Learn: other material","Supporting material for the Learn library: glossary, shortcuts, limits, related pages, privacy and release notes.","7"
"website","website/portfolio","Portfolio Builder and Portfolio Index","What the Portfolio Builder and the Portfolio Index are, who they are for, and how to publish your first portfolio.","1"
"website","website/portfolio/docs","Portfolio documentation","Task guides, reference, troubleshooting and FAQ for the Portfolio Builder and the Portfolio Index.","19"
